"Дата";"Регион";"Заражений";"Выздоровлений";"Смертей";"Смертей за день";"Заражений за день";"Выздоровлений за день"
03.02.2022;Москва;2429572;1994160;39192;76;26904;12359
27.03.2021;Москва;1020673;940041;16446;54;1551;1368
21.07.2020;Москва;234725;171771;4331;17;602;853
15.01.2022;Москва;2082224;1905315;37807;68;6555;2877
26.06.2021;Москва;1332214;1139840;21972;96;8457;4260
04.09.2020;Москва;265066;219095;4867;10;692;1196
17.11.2021;Москва;1904523;1702667;32973;96;2966;7477
15.10.2020;Москва;347946;268423;5796;57;3942;1953
20.05.2021;Москва;1148508;1035739;19474;55;3312;2877
14.03.2020;Москва;35;0;0;0;9;0
17.11.2020;Москва;522456;377131;7933;74;5882;5274
23.08.2021;Москва;1556282;1429919;27031;53;1458;2006
19.03.2020;Москва;98;1;0;0;12;0
29.07.2021;Москва;1499131;1351297;25477;79;3356;5060
08.12.2020;Москва;660073;501403;9496;71;5232;5532
25.04.2020;Москва;39509;3047;366;41;2612;312
05.11.2021;Москва;1849769;1624648;31821;93;6407;6024
29.12.2020;Москва;798098;615396;11064;75;5641;5626
05.06.2020;Москва;191069;97358;2806;57;1855;2643
24.02.2021;Москва;972172;889356;14874;43;1417;1719
13.09.2021;Москва;1588195;1465359;28064;41;2022;1259
06.04.2021;Москва;1038190;951851;16976;54;1747;1193
15.07.2020;Москва;231270;167810;4234;29;628;1844
22.07.2020;Москва;235363;172939;4350;19;638;1168
26.03.2021;Москва;1019122;938673;16392;55;1813;1551
04.02.2022;Москва;2454591;2007965;39271;79;25019;13805
03.09.2020;Москва;264374;217899;4857;13;690;1157
27.06.2021;Москва;1338937;1143858;22086;114;6723;4018
14.01.2022;Москва;2075669;1902438;37739;69;5712;2888
19.05.2021;Москва;1145196;1032862;19419;61;2096;2663
16.10.2020;Москва;352995;270226;5850;54;5049;1803
18.11.2021;Москва;1908585;1709871;33067;94;4062;7204
24.08.2021;Москва;1557387;1432067;27087;56;1105;2148
16.11.2020;Москва;516574;371857;7859;72;6360;4244
13.03.2020;Москва;26;0;0;0;5;0
09.12.2020;Москва;665218;507149;9571;75;5145;5746
28.07.2021;Москва;1495775;1346237;25398;93;2445;5131
20.03.2020;Москва;131;5;0;0;33;4
28.12.2020;Москва;792457;609770;10989;76;6253;5166
06.11.2021;Москва;1856649;1630606;31919;98;6880;5958
24.04.2020;Москва;36897;2735;325;37;2957;287
12.09.2021;Москва;1586173;1464100;28023;42;1592;1247
25.02.2021;Москва;973578;891448;14921;47;1406;2092
06.06.2020;Москва;193061;100431;2864;58;1992;3073
29.03.2021;Москва;1024163;942036;16547;49;1612;844
23.07.2020;Москва;235971;173392;4364;14;608;453
